,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,zip code tabulation area
1,6.0,6.5,6.2,5.3,6.5,11.8,12.9,14.0,7.0,6.7,10.8,4.4,1.9,10312.0
2,6.9,8.2,8.3,7.8,6.7,16.2,13.3,11.9,6.3,4.4,5.9,2.6,1.5,10452.0
3,6.7,5.9,6.0,5.8,6.5,17.3,13.8,12.8,6.9,5.2,7.7,4.1,1.2,10462.0
4,6.7,6.3,6.7,6.8,7.4,14.0,11.2,12.9,5.6,6.3,8.6,5.3,2.2,10473.0
5,3.6,0.9,0.9,2.1,7.4,39.6,18.2,9.4,5.2,2.5,6.2,1.7,2.3,10018.0
6,5.8,5.1,4.1,8.0,11.1,22.3,13.0,10.7,4.8,4.0,6.0,3.8,1.2,10027.0
7,2.1,1.7,1.8,2.1,9.4,26.3,17.3,16.2,4.5,5.3,8.0,3.6,1.9,10036.0
10,4.6,6.3,7.0,6.9,6.6,13.5,11.5,14.7,7.8,6.8,7.7,4.8,1.8,10304.0
11,4.8,5.1,6.3,5.8,5.4,13.2,12.5,15.0,7.0,7.6,10.7,4.9,1.8,10308.0
12,6.9,7.6,6.9,7.9,8.2,15.5,13.3,11.5,6.1,5.7,6.1,3.1,1.0,10459.0
13,5.6,5.7,6.8,6.4,7.5,15.1,11.4,14.2,7.1,5.8,8.0,4.6,1.8,10466.0
14,8.7,9.2,7.6,6.1,8.6,18.6,13.5,9.4,4.8,5.4,4.9,2.1,1.1,10474.0
15,8.6,4.1,4.2,3.2,4.0,27.0,17.9,11.4,4.6,4.3,6.4,3.1,1.4,11217.0
16,8.9,7.2,7.7,6.4,9.0,21.3,12.3,9.0,4.8,3.6,5.6,3.1,0.9,11206.0
17,6.2,6.3,4.5,3.0,4.1,9.9,13.3,13.0,9.5,6.5,11.8,8.4,3.6,11363.0
18,5.5,2.3,1.7,1.6,11.6,42.7,19.2,9.4,3.9,1.1,0.8,0.3,0.0,10005.0
19,4.4,4.6,3.2,5.4,7.1,23.0,14.9,12.5,4.5,3.8,10.3,4.1,2.2,10010.0
20,3.5,2.5,2.5,1.7,10.4,34.7,13.2,9.8,3.7,3.2,7.4,4.4,3.0,10016.0
21,2.8,1.3,2.1,1.6,7.2,22.3,19.1,12.5,3.4,5.5,14.1,6.3,1.8,10017.0
22,6.2,4.8,5.5,4.5,7.7,20.5,15.5,14.7,5.5,4.3,6.0,3.3,1.5,10026.0
23,5.0,4.8,4.9,4.3,7.1,23.0,14.3,13.1,6.2,4.8,6.7,4.5,1.4,10033.0
24,9.5,6.8,12.0,1.9,1.9,13.3,23.4,11.0,5.9,5.0,3.7,4.1,1.5,10069.0
27,5.0,3.0,3.3,3.1,5.4,21.7,13.3,13.1,6.7,6.6,10.3,5.9,2.6,10128.0
30,6.8,6.4,5.9,7.2,5.3,13.4,12.1,14.6,7.7,6.6,8.7,3.9,1.5,10310.0
31,9.9,5.4,2.5,2.1,5.2,25.9,16.7,21.5,3.1,2.3,5.2,0.3,0.1,10007.0
32,2.6,1.6,1.1,2.1,5.4,28.4,17.5,12.5,6.1,5.5,10.8,4.7,1.7,10019.0
34,5.2,3.6,4.6,3.2,3.2,19.2,13.8,11.9,6.1,4.6,11.1,9.9,3.6,10021.0
35,4.1,2.8,6.1,5.6,8.4,22.3,14.1,9.6,4.5,6.0,7.7,5.5,3.3,10038.0
