ZIPCODE,crime_count,POPULATION
00083,436.0,25.0
10001,4696.0,22413.0
10002,5917.0,81305.0
10003,3596.0,55878.0
10004,285.0,2187.0
10005,912.0,8107.0
10006,282.0,3011.0
10007,1454.0,7323.0
10009,3373.0,61455.0
10010,1722.0,29881.0
10011,3456.0,50594.0
10012,2498.0,24276.0
10013,2883.0,27985.0
10014,2684.0,31328.0
10016,2309.0,54606.0
10017,1607.0,15918.0
10018,3815.0,5503.0
10019,3750.0,41966.0
10020,431.0,0.0
10021,1301.0,45299.0
10022,1996.0,33135.0
10023,2183.0,62800.0
10024,1814.0,58521.0
10025,3668.0,96054.0
10026,1899.0,34313.0
10027,4776.0,58639.0
10028,1665.0,47530.0
10029,5263.0,77503.0
10030,2402.0,26720.0
10031,3389.0,57010.0
10032,2732.0,57606.0
10033,3398.0,54284.0
10034,1396.0,39149.0
10035,4542.0,34884.0
10036,3773.0,23543.0
10037,884.0,16931.0
10038,1002.0,19127.0
10039,1323.0,24234.0
10040,1142.0,41033.0
10041,0.0,0.0
10043,0.0,0.0
10044,127.0,11661.0
10045,0.0,0.0
10047,0.0,0.0
10048,191.0,0.0
10055,0.0,12.0
10065,1482.0,33459.0
10069,81.0,5850.0
10075,672.0,25203.0
10080,8.0,0.0
10081,0.0,0.0
10096,0.0,0.0
10097,0.0,0.0
10103,0.0,0.0
10104,0.0,0.0
10105,0.0,0.0
10106,0.0,0.0
10107,0.0,0.0
10110,0.0,0.0
10111,19.0,0.0
10112,20.0,0.0
10115,0.0,0.0
10118,0.0,0.0
10119,0.0,0.0
10120,0.0,0.0
10121,0.0,0.0
10122,0.0,0.0
10123,0.0,0.0
10128,1471.0,55748.0
10151,0.0,0.0
10152,0.0,0.0
10153,0.0,0.0
10154,0.0,0.0
10155,0.0,0.0
10158,0.0,0.0
10162,0.0,0.0
10165,0.0,0.0
10166,0.0,0.0
10167,0.0,0.0
10168,0.0,0.0
10169,15.0,0.0
10170,0.0,0.0
10171,0.0,0.0
10172,0.0,0.0
10173,0.0,0.0
10174,0.0,0.0
