ZIPCODE,crime_rate,density,subway_count,tree_count,AREA,tree_density
00083,0.2,6.527246355498213e-07,5.0,935.0,38300990.399943,2.4411901369563316e-05
10001,0.0022308481684736535,0.0012595152906815829,50.0,911.0,17794940.7727089,5.119432605233221e-05
10002,0.00020908923190455692,0.0030937824320082198,17.0,2265.0,26280128.5438885,8.618679304469119e-05
10003,0.0005010916639822471,0.0035961286449912974,28.0,2025.0,15538376.2696663,0.00013032249733539814
10004,0.009144947416552356,0.00016133610389859108,20.0,118.0,13555552.3354813,8.704920100609853e-06
10005,0.001726902676699149,0.0038921674396601765,14.0,144.0,2082901.14073505,6.913434208845016e-05
10006,0.006974427100631019,0.0017540068890967175,21.0,53.0,1716640.92012239,3.08742494593577e-05
10007,0.005052574081660522,0.0013744702212086211,37.0,355.0,5327870.97676123,6.663074266408036e-05
10009,6.508827597429013e-05,0.003864239030115376,4.0,1924.0,15903519.3012284,0.00012097951173935374
10010,0.0007027877246410763,0.0030589465573994347,21.0,889.0,9768395.56994528,9.100778051364069e-05
10011,0.0010277898565047238,0.0027924073294658233,52.0,2134.0,18118416.8463268,0.0001177807099869563
10012,0.0009474377986488713,0.0026404926223361235,23.0,1076.0,9193738.99955164,0.00011703616994701223
10013,0.0012149365731641952,0.0017961463626553261,34.0,1202.0,15580578.8335804,7.714732635024842e-05
10014,0.0005107252298263534,0.0022138283381801962,16.0,2591.0,14151052.0304172,0.00018309592773955847
10016,0.0002930080943486064,0.0036301380745358065,16.0,1872.0,15042403.0377915,0.00012444820121472054
10017,0.001005151400929765,0.001625217189276589,16.0,848.0,9794383.23999352,8.658023473467442e-05
10018,0.004542976558240959,0.0005140206065664519,25.0,485.0,10705796.4791701,4.5302561182033285e-05
10019,0.0014535576419005861,0.002228869029256091,61.0,1715.0,18828383.1167983,9.108588822318534e-05
10020,inf,0.0,4.0,123.0,697297.02240016,0.00017639541837798586
10021,0.00017660434005165677,0.004316190965549613,8.0,1959.0,10495133.4084987,0.0001866579417097881
10022,0.0008752074845329712,0.0026032468801343083,29.0,1627.0,12728335.6230472,0.00012782503920261113
10023,0.00027070063694267516,0.004128126345944939,17.0,2260.0,15212712.6781593,0.00014855996085725418
10024,0.0003075818936791921,0.0025580339149329136,18.0,3311.0,22877335.4639181,0.00014472839309551916
10025,0.00019780540112853187,0.004892964473431696,19.0,3696.0,19631043.8225259,0.0001882732285360688
10026,0.0003205782065106519,0.0030933007529019498,11.0,1829.0,11092681.4884746,0.00016488348663939808
10027,0.00034106993639045687,0.002374502477864864,20.0,2992.0,24695278.5042902,0.00012115676279901898
10028,0.00025247212286976645,0.00482928018050254,12.0,1806.0,9842046.4797,0.00018349842217520697
10029,0.00012902726346076927,0.003375061166380291,10.0,2423.0,22963435.6769661,0.0001055155697990974
10030,0.0002994011976047904,0.003444336950669378,8.0,1365.0,7757661.4549303,0.00017595508748741395
10031,0.0002280301701455885,0.0033729432066287586,13.0,2587.0,16902152.3659099,0.00015305742984649359
10032,0.0003471860570079506,0.0024873523005703425,20.0,2217.0,23159566.0923429,9.572718207069488e-05
10033,0.00025790288114361506,0.00335997883037118,14.0,1971.0,16156054.1719256,0.00012199761024724772
10034,0.00045978185905131677,0.0015976645589633903,18.0,1574.0,24503892.1220115,6.423469349940934e-05
10035,0.0002006650613461759,0.0008958275882742036,7.0,2010.0,38940528.7988545,5.161717269897803e-05
10036,0.0011043622308117063,0.002066061577917664,26.0,894.0,11395110.509595,7.845470206254053e-05
10037,0.00017718977024393126,0.002355132126470041,3.0,698.0,7188980.95342821,9.709303787585425e-05
10038,0.0008887959429079312,0.002723572818759541,17.0,374.0,7022760.64302604,5.325541037361157e-05
10039,0.00016505735743170752,0.0028784795979010067,4.0,801.0,8419027.88460668,9.51416257290875e-05
10040,0.00021933565666658542,0.0025110853597219273,9.0,1560.0,16340742.7951967,9.546689642887935e-05
10041,,0.0,0.0,0.0,162236.64686066,0.0
10043,,0.0,0.0,0.0,38262.36480837,0.0
10044,8.575593859874797e-05,0.0018520950151430903,1.0,0.0,6296113.26884279,0.0
10045,,0.0,0.0,0.0,47808.98541408,0.0
10047,,0.0,0.0,0.0,20299.55936786,0.0
10048,,0.0,0.0,12.0,972788.42397429,1.2335673106567672e-05
10055,0.0,0.0003223766570800508,0.0,0.0,37223.53879059,0.0
10065,0.0004483098717833767,0.0029240784266766342,15.0,1911.0,11442579.5473714,0.0001670077968074075
10069,0.0,0.002465892814844137,0.0,119.0,2372365.88905417,5.0160896575461925e-05
10075,0.00015871126453200017,0.005240085576046248,4.0,899.0,4809654.27648916,0.0001869157216547862
10080,,0.0,0.0,0.0,77111.44771105,0.0
10081,,0.0,0.0,0.0,30240.50545136,0.0
10096,,0.0,0.0,0.0,42106.11469036,0.0
10097,,0.0,0.0,0.0,65826.17797858,0.0
10103,inf,0.0,1.0,0.0,62713.25340641,0.0
10104,,0.0,0.0,0.0,89721.85254792,0.0
10105,,0.0,0.0,0.0,35422.15675474,0.0
10106,,0.0,0.0,0.0,31052.55279476,0.0
10107,inf,0.0,1.0,0.0,23030.17589801,0.0
10110,,0.0,0.0,0.0,21249.06351801,0.0
10111,,0.0,0.0,25.0,103066.25326749,0.00024256242181538296
10112,inf,0.0,1.0,0.0,164078.16778045,0.0
10115,,0.0,0.0,7.0,71720.1154679,9.760162758149785e-05
10118,,0.0,0.0,0.0,91733.71536502,0.0
10119,inf,0.0,1.0,0.0,126392.97354801,0.0
10120,,0.0,0.0,0.0,35179.27221883,0.0
10121,inf,0.0,1.0,0.0,115104.79934758,0.0
10122,,0.0,0.0,0.0,23294.63810493,0.0
10123,,0.0,0.0,0.0,16138.53696529,0.0
10128,0.00010762717945038387,0.005062623697600458,6.0,2136.0,11011681.5568226,0.00019397582367214211
10151,,0.0,0.0,0.0,21380.26837704,0.0
10152,,0.0,0.0,0.0,59924.99827374,0.0
10153,,0.0,0.0,0.0,80339.64722531,0.0
10154,inf,0.0,1.0,0.0,79148.80239471,0.0
10155,,0.0,0.0,0.0,24784.68853834,0.0
10158,,0.0,0.0,0.0,35395.77014453,0.0
10162,,0.0,0.0,0.0,21034.88691763,0.0
10165,inf,0.0,1.0,0.0,40779.8152016,0.0
10166,,0.0,0.0,0.0,110438.62316925,0.0
10167,,0.0,0.0,0.0,80926.18724468,0.0
10168,inf,0.0,1.0,0.0,27810.12206039,0.0
10169,,0.0,0.0,0.0,66246.34636524,0.0
10170,,0.0,0.0,0.0,61793.17513498,0.0
10171,,0.0,0.0,0.0,23525.08592042,0.0
10172,,0.0,0.0,0.0,79589.10010435,0.0
10173,,0.0,0.0,0.0,25689.4205866,0.0
10174,inf,0.0,2.0,0.0,44203.225551,0.0
10175,,0.0,0.0,0.0,18685.39452547,0.0
10176,,0.0,0.0,0.0,18289.08973373,0.0
10177,,0.0,0.0,0.0,24688.05110227,0.0
10178,,0.0,0.0,0.0,51303.03763325,0.0
10196,,0.0,0.0,0.0,35657.26530183,0.0
10203,,0.0,0.0,0.0,37226.88358199,0.0
10259,,0.0,0.0,0.0,21064.31295297,0.0
10260,,0.0,0.0,0.0,52514.73508273,0.0
10265,,0.0,0.0,0.0,17229.15496418,0.0
10270,,0.0,0.0,0.0,31255.80042657,0.0
10271,,0.0,0.0,0.0,49236.87720047,0.0
10275,,0.0,0.0,0.0,48280.41500036,0.0
10278,,0.0,0.0,0.0,206705.99517726,0.0
10279,,0.0,0.0,0.0,28664.70581259,0.0
10280,0.0,0.0014189069982713,0.0,418.0,2234114.00737477,0.00018709877769003261
10281,0.0,0.0042025078500065585,0.0,72.0,955857.82189407,7.532501000758581e-05
10282,0.0,0.002648375260016915,0.0,234.0,1562844.98744848,0.00014972694149407057
10285,,0.0,0.0,0.0,67350.38895987,0.0
10286,,0.0,0.0,0.0,11264.4123784,0.0
10301,7.418764528413868e-05,0.00038445481183514696,3.0,6034.0,105182712.649568,5.7366841451438664e-05
10302,0.0,0.0006131890348708722,0.0,2369.0,29555323.0233747,8.01547659664016e-05
10303,0.0,0.0003313496881652169,0.0,3238.0,81629773.5174369,3.966689922652219e-05
10304,0.00014457134595923088,0.0004225124995126727,6.0,5855.0,98226679.797328,5.960702338794994e-05
10305,9.581756335936378e-05,0.0003745990195565338,4.0,6855.0,111441829.317708,6.151191201696065e-05
10306,0.00021581957483543757,0.0003193629108224004,12.0,13030.0,174102872.04866,7.48408101869695e-05
10307,0.0004965947786606129,0.0003062458247421899,7.0,5451.0,46028382.6297602,0.00011842692896351285
10308,7.243227582210633e-05,0.0004400245669440638,2.0,7116.0,62751041.8151495,0.00011340050769136455
10309,0.0002415896599625536,0.0001534221894357731,8.0,12650.0,215835793.517094,5.86093705490889e-05
10310,0.0,0.0004676668236061956,0.0,3629.0,53463275.0024921,6.787837071019013e-05
10312,0.00010255358424776946,0.0003460103391133717,6.0,22186.0,169087432.907114,0.00013121022431151103
10314,0.0,0.00018023749473907553,0.0,16905.0,473985727.130054,3.566563090909601e-05
10451,0.0003624830086089715,0.0015250082076038623,16.0,2450.0,28944106.5168784,8.464590187198601e-05
10452,0.00028907810364764007,0.002762356955913528,22.0,3320.0,27550385.8533127,0.00012050647920783288
10453,0.00018046818603691863,0.003012834614287385,14.0,3050.0,25748509.2716743,0.00011845345949232396
10454,0.0005071264613249346,0.0012061056647739005,19.0,1755.0,31063613.325308,5.649696903000575e-05
10455,0.00047697946477883216,0.0020070621701135613,19.0,2044.0,19846918.8414558,0.00010298827824753022
10456,4.474773464593355e-05,0.002986291013042411,4.0,4085.0,29933452.4363485,0.000136469390180985
10457,0.00011387414060609511,0.0018664151535077952,8.0,4175.0,37640607.3793199,0.0001109174450328818
10458,0.00010080391119175424,0.002206411432404532,8.0,3405.0,35968812.9033631,9.46653426997484e-05
10459,0.0004914109905136314,0.0020753868130639784,23.0,3078.0,22551940.5372444,0.00013648492886528772
10460,0.00019410622904535027,0.0016119734144317208,11.0,3261.0,35155666.6460149,9.27588724980032e-05
10461,0.00021761063522522702,0.0008046121494148006,11.0,5636.0,62824057.5745278,8.971085628008104e-05
10462,0.0001321457832280572,0.0014272050608355109,10.0,4234.0,53022513.776471,7.985287189229528e-05
10463,0.0001557169349244773,0.00177387067828254,11.0,3723.0,39823083.421388164,9.348849160184449e-05
