,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,zip code tabulation area
1,88.1,1.0,0.2,6.9,0.1,1.0,12.0,10312.0
2,14.9,32.1,0.6,1.4,0.3,44.0,69.9,10452.0
3,20.7,27.2,1.2,15.6,0.0,28.2,46.5,10462.0
4,29.1,37.9,0.7,1.7,0.0,23.4,62.3,10473.0
5,57.7,3.8,0.2,30.6,0.0,3.6,14.6,10018.0
6,30.1,39.3,0.6,8.5,0.0,15.8,25.1,10027.0
7,62.4,6.8,0.2,19.6,0.0,4.8,17.7,10036.0
10,51.8,28.3,0.1,9.6,0.1,7.3,22.6,10304.0
11,91.3,1.6,0.1,5.4,0.0,0.6,9.3,10308.0
12,12.3,35.2,0.5,0.3,0.1,43.6,67.6,10459.0
13,10.5,70.2,1.0,2.7,0.0,11.9,25.0,10466.0
14,13.8,42.6,0.4,0.2,0.0,32.1,62.8,10474.0
15,57.0,19.5,0.1,9.2,0.1,5.2,15.6,11217.0
16,46.2,22.5,1.0,6.4,0.2,17.6,37.6,11206.0
17,54.7,1.9,0.0,34.1,0.0,2.8,12.6,11363.0
18,73.0,2.0,0.0,17.5,0.0,2.5,6.1,10005.0
19,68.1,11.0,0.0,15.0,0.0,2.2,9.0,10010.0
20,69.9,3.3,0.2,18.5,0.1,1.1,12.7,10016.0
21,73.0,2.7,0.0,20.2,0.0,1.0,4.3,10017.0
22,25.6,52.2,0.3,6.2,0.0,9.3,19.5,10026.0
23,40.0,8.7,2.3,2.5,0.0,32.7,66.5,10033.0
24,47.8,4.8,0.0,29.0,0.0,13.4,16.8,10069.0
27,76.0,4.6,0.0,9.2,0.0,5.0,14.7,10128.0
30,57.2,23.0,0.5,6.2,0.0,8.3,30.8,10310.0
31,76.4,8.2,0.0,11.7,0.0,2.4,14.7,10007.0
32,66.2,5.4,0.6,18.7,0.1,5.2,17.6,10019.0
34,83.3,0.3,0.9,11.2,0.3,2.3,5.1,10021.0
35,51.0,10.4,0.3,28.8,0.0,4.0,10.9,10038.0
36,14.6,60.0,0.3,2.0,0.0,14.4,33.4,10039.0
37,11.6,25.7,1.4,8.8,0.1,48.3,63.1,10472.0
38,63.6,5.5,0.5,21.4,0.0,5.7,13.6,11001.0
39,55.5,1.1,0.6,33.2,0.0,7.0,11.9,11204.0
40,59.2,9.2,0.4,19.7,0.0,5.9,14.5,11218.0
41,55.5,5.3,0.1,25.0,0.2,10.0,13.4,11223.0
42,54.9,20.6,0.1,7.4,0.0,12.0,20.3,11224.0
43,15.7,1.8,0.7,49.7,0.0,28.3,41.8,11373.0
44,66.8,14.7,0.4,5.8,0.7,5.2,16.1,11231.0
45,31.4,8.3,0.3,30.7,0.0,20.7,37.1,11417.0
46,57.7,1.5,0.0,35.5,0.0,0.8,7.2,11109.0
49,32.5,67.5,0.0,0.0,0.0,0.0,0.0,11424.0
51,58.0,3.3,0.1,28.6,0.0,3.7,15.2,11375.0
52,14.5,25.3,1.6,31.7,0.2,16.4,24.3,11420.0
53,17.7,26.1,0.5,22.0,0.0,28.5,30.8,11435.0
54,34.3,46.2,0.3,4.9,0.0,9.1,23.5,11691.0
55,58.0,7.7,0.7,16.5,0.1,11.0,25.7,11102.0
56,13.8,63.7,0.3,1.5,0.1,15.4,32.6,11207.0
57,25.2,64.2,0.1,2.1,0.0,5.2,11.7,11213.0
58,32.1,51.0,0.2,4.9,0.0,4.1,12.3,11216.0
59,29.8,59.8,0.3,2.6,0.0,4.5,10.0,11225.0
60,43.7,7.6,1.3,15.9,0.1,25.4,51.7,11232.0
61,53.7,29.6,0.2,6.0,0.0,3.0,10.3,11238.0
62,38.6,1.3,0.4,47.2,0.0,8.2,17.9,11358.0
63,30.7,9.0,0.1,45.9,0.0,6.3,19.9,11365.0
64,21.2,47.0,0.1,14.8,0.0,11.2,19.5,11003.0
65,66.5,2.9,0.3,14.3,0.0,8.7,24.1,11103.0
66,70.8,4.2,0.1,13.1,0.1,5.9,17.8,11209.0
67,46.8,2.0,0.2,36.9,0.0,10.0,17.7,11214.0
68,30.6,3.2,0.5,41.3,0.0,20.3,40.3,11220.0
69,69.0,7.2,0.3,14.3,0.0,5.3,11.4,11230.0
70,12.4,2.7,0.5,72.2,0.1,9.4,15.7,11355.0
71,42.9,3.0,0.3,36.6,0.0,9.2,39.0,11377.0
72,59.4,21.6,0.0,4.1,0.0,6.4,28.5,11693.0
73,31.4,9.7,0.9,13.3,0.0,39.1,74.9,11368.0
74,74.5,2.7,0.3,6.0,0.0,9.6,46.7,11385.0
75,2.5,86.3,1.0,2.4,0.2,4.5,6.4,11412.0
76,77.7,4.2,0.0,5.1,0.0,6.9,21.5,11414.0
77,23.2,66.4,0.0,3.6,0.0,6.8,30.0,11430.0
78,80.2,5.8,1.2,2.1,0.0,6.7,19.4,11694.0
79,95.3,0.6,0.0,0.7,0.0,3.5,7.9,11697.0
80,65.2,1.5,0.2,12.3,0.1,15.6,33.7,11378.0
81,4.5,91.0,0.1,0.4,0.0,2.1,6.5,11411.0
82,27.1,5.4,0.2,32.0,0.0,24.9,46.1,11416.0
83,12.8,38.0,0.7,29.8,0.0,14.5,13.6,11423.0
84,48.6,0.9,0.7,39.5,0.2,5.9,13.1,11040.0
