,ZIPCODE,shop_count,shop_density
0,83,6,1.5665391253195712e-07
1,10001,260,1.4610894372784167e-05
2,10002,370,1.4079078775512469e-05
3,10003,414,2.6643710566348066e-05
4,10004,40,2.950820373088086e-06
5,10005,23,1.1042290750238566e-05
6,10006,7,4.077731060669885e-06
7,10007,47,8.821534944258526e-06
8,10009,163,1.0249303749227993e-05
9,10010,159,1.62769821166129e-05
10,10011,190,1.0486567430891143e-05
11,10012,317,3.447998687100639e-05
12,10013,378,2.426097284558561e-05
13,10014,103,7.278610790109812e-06
14,10016,282,1.8747004670166233e-05
15,10017,94,9.59733734087193e-06
16,10018,148,1.3824286711218405e-05
17,10019,160,8.497808813824872e-06
18,10020,36,5.1627927330142206e-05
19,10021,139,1.3244233740510742e-05
20,10022,174,1.367028692148392e-05
21,10023,145,9.5315019134079e-06
22,10024,129,5.638768562163084e-06
23,10025,170,8.659753477037795e-06
24,10026,39,3.5158315904518996e-06
25,10027,97,3.927876334059104e-06
26,10028,158,1.6053571818207476e-05
27,10029,175,7.620810860438318e-06
28,10030,17,2.191382041967793e-06
29,10031,22,1.3016093763520907e-06
30,10032,14,6.045018263372703e-07
31,10033,29,1.794992743363868e-06
32,10034,27,1.1018657715908845e-06
33,10035,70,1.7976129795663988e-06
34,10036,130,1.1408401865917527e-05
35,10037,1,1.3910177346110925e-07
36,10038,66,9.398013595343217e-06
37,10039,8,9.502284717012485e-07
38,10040,11,6.731640132805595e-07
39,10041,0,0.0
40,10043,0,0.0
41,10044,1,1.5882814639765804e-07
42,10045,0,0.0
43,10047,0,0.0
44,10048,4,4.111891035522558e-06
45,10055,0,0.0
46,10065,118,1.0312360033110459e-05
47,10069,5,2.10760069644798e-06
48,10075,52,1.0811587904392529e-05
49,10080,1,1.296824310376293e-05
50,10081,0,0.0
51,10096,0,0.0
52,10097,0,0.0
53,10103,5,7.9727963841993e-05
54,10104,0,0.0
55,10105,0,0.0
56,10106,0,0.0
57,10107,2,8.684258465315573e-05
58,10110,2,9.412179498192316e-05
59,10111,2,1.9404993745230635e-05
60,10112,15,9.141984093868739e-05
61,10115,0,0.0
