,ZIPCODE,toilet_count,toilet_density
0,83,22,5.743976792838428e-07
1,10001,8,4.4956598070105126e-07
2,10002,7,2.6636094980699265e-07
3,10003,3,1.9307036642281206e-07
4,10004,22,1.6229512051984472e-06
5,10005,0,0.0
6,10006,0,0.0
7,10007,0,0.0
8,10009,3,1.8863749231707962e-07
9,10010,1,1.0237095670825724e-07
10,10011,3,1.6557738048775487e-07
11,10012,2,2.175393493438889e-07
12,10013,5,3.209123392273229e-07
13,10014,5,3.533306208791171e-07
14,10016,2,1.3295747993025699e-07
15,10017,2,2.041986668270623e-07
16,10018,2,1.8681468528673518e-07
17,10019,3,1.5933391525921633e-07
18,10020,0,0.0
19,10021,0,0.0
20,10022,0,0.0
21,10023,1,6.573449595453725e-08
22,10024,7,3.059796894197022e-07
23,10025,0,0.0
24,10026,3,2.7044858388091536e-07
25,10027,3,1.2148071136265272e-07
26,10028,0,0.0
27,10029,2,8.709498126215221e-08
28,10030,1,1.2890482599810546e-07
29,10031,4,2.3665625024583467e-07
30,10032,4,1.7271480752493436e-07
31,10033,1,6.189630149530579e-08
32,10034,2,8.161968678450996e-08
33,10035,8,2.0544148337901701e-07
34,10036,1,8.775693743013481e-08
35,10037,2,2.782035469222185e-07
36,10038,3,4.271824361519644e-07
37,10039,2,2.3755711792531212e-07
38,10040,3,1.835901854401526e-07
39,10041,0,0.0
40,10043,0,0.0
41,10044,4,6.353125855906322e-07
42,10045,0,0.0
43,10047,0,0.0
44,10048,0,0.0
45,10055,0,0.0
46,10065,0,0.0
47,10069,1,4.21520139289596e-07
48,10075,0,0.0
49,10080,0,0.0
50,10081,0,0.0
51,10096,0,0.0
52,10097,0,0.0
53,10103,0,0.0
54,10104,0,0.0
55,10105,0,0.0
56,10106,0,0.0
57,10107,0,0.0
58,10110,0,0.0
59,10111,0,0.0
60,10112,0,0.0
61,10115,0,0.0
62,10118,0,0.0
63,10119,0,0.0
64,10120,0,0.0
65,10121,0,0.0
66,10122,0,0.0
67,10123,0,0.0
68,10128,2,1.8162530306380347e-07
69,10151,0,0.0
70,10152,0,0.0
71,10153,0,0.0
72,10154,0,0.0
73,10155,0,0.0
74,10158,0,0.0
75,10162,0,0.0
76,10165,0,0.0
77,10166,0,0.0
78,10167,0,0.0
79,10168,0,0.0
80,10169,0,0.0
81,10170,0,0.0
82,10171,0,0.0
83,10172,0,0.0
84,10173,0,0.0
85,10174,0,0.0
86,10175,0,0.0
87,10176,0,0.0
88,10177,0,0.0
89,10178,0,0.0
90,10196,0,0.0
91,10203,0,0.0
92,10259,0,0.0
93,10260,0,0.0
94,10265,0,0.0
95,10270,0,0.0
96,10271,0,0.0
97,10275,0,0.0
98,10278,0,0.0
99,10279,0,0.0
100,10280,1,4.476047313158675e-07
101,10281,0,0.0
102,10282,1,6.398587243336348e-07
103,10285,0,0.0
104,10286,0,0.0
105,10301,5,4.753632868034361e-08
106,10302,0,0.0
107,10303,0,0.0
108,10304,2,2.0361066913048658e-08
109,10305,4,3.5893165290713724e-08
110,10306,4,2.2974922543966075e-08
111,10307,0,0.0
112,10308,0,0.0
113,10309,4,1.8532607288249453e-08
114,10310,2,3.740885682567657e-08
115,10312,2,1.182820015428748e-08
116,10314,5,1.054884084859391e-08
117,10451,1,3.454934770285144e-08
118,10452,0,0.0
119,10453,0,0.0
120,10454,0,0.0
121,10455,0,0.0
122,10456,2,6.681487891357895e-08
123,10457,2,5.3134105404973316e-08
124,10458,11,3.0582049036629437e-07
125,10459,0,0.0
126,10460,6,1.7066949861638125e-07
127,10461,0,0.0
128,10462,4,7.543965223646223e-08
129,10463,0,0.0
130,10464,0,0.0
131,10465,0,0.0
