,Unemployment Rate Percent,zip code tabulation area
1,4.3,10312.0
2,11.8,10452.0
3,8.1,10462.0
4,8.2,10473.0
5,3.9,10018.0
6,6.9,10027.0
7,5.2,10036.0
10,6.2,10304.0
11,4.3,10308.0
12,10.6,10459.0
13,8.8,10466.0
14,12.8,10474.0
15,5.1,11217.0
16,9.3,11206.0
17,4.5,11363.0
18,2.3,10005.0
19,4.0,10010.0
20,3.9,10016.0
21,4.6,10017.0
22,5.5,10026.0
23,9.8,10033.0
24,10.5,10069.0
27,4.4,10128.0
30,4.1,10310.0
31,1.4,10007.0
32,5.2,10019.0
34,3.1,10021.0
35,5.9,10038.0
36,13.1,10039.0
37,10.1,10472.0
38,4.7,11001.0
39,6.5,11204.0
40,5.7,11218.0
41,7.3,11223.0
42,9.5,11224.0
43,4.4,11373.0
44,6.1,11231.0
45,6.4,11417.0
46,4.8,11109.0
51,4.4,11375.0
52,6.5,11420.0
53,10.3,11435.0
54,8.2,11691.0
55,5.4,11102.0
56,11.5,11207.0
57,9.3,11213.0
58,6.0,11216.0
59,6.2,11225.0
60,5.1,11232.0
61,5.9,11238.0
62,5.4,11358.0
63,6.1,11365.0
64,7.0,11003.0
65,5.9,11103.0
66,5.2,11209.0
67,5.8,11214.0
68,6.0,11220.0
69,5.2,11230.0
70,5.0,11355.0
71,4.3,11377.0
72,6.6,11693.0
73,4.6,11368.0
74,5.2,11385.0
75,5.5,11412.0
76,6.6,11414.0
77,50.4,11430.0
78,6.0,11694.0
79,3.7,11697.0
80,5.6,11378.0
81,5.6,11411.0
82,7.6,11416.0
83,8.7,11423.0
84,3.4,11040.0
85,5.1,11105.0
86,6.5,11106.0
87,4.8,11229.0
88,5.6,11234.0
89,6.2,11357.0
90,5.3,11367.0
91,6.5,11369.0
92,5.4,11415.0
93,4.5,11418.0
94,6.9,11421.0
95,7.7,11432.0
96,3.8,11004.0
98,5.3,11211.0
99,6.9,11372.0
100,6.1,11222.0
101,5.9,11233.0
102,4.8,11235.0
103,3.6,11426.0
104,4.8,11427.0
105,6.6,11101.0
106,7.9,11205.0
107,5.5,11215.0
108,6.1,11219.0
109,5.2,11226.0
110,6.3,11228.0
111,4.7,11236.0
112,6.3,11366.0
113,6.7,11370.0
115,3.5,11374.0
116,4.6,11379.0
117,8.7,11419.0
118,6.0,11422.0
119,5.8,11428.0
120,12.1,11433.0
121,6.8,10002.0
122,9.6,10029.0
123,7.4,10031.0
124,5.8,10034.0
125,13.0,10040.0
129,4.6,11354.0
130,5.4,11356.0
131,3.9,11360.0
132,3.7,11362.0
133,6.2,11237.0
134,5.9,11203.0
135,6.3,11208.0
136,6.0,11210.0
137,16.5,11212.0
138,7.3,11221.0
139,8.5,11239.0
140,3.1,11361.0
141,4.4,11364.0
142,5.9,11413.0
143,11.2,11429.0
144,6.9,11434.0
145,7.3,11436.0
146,8.5,11692.0
147,3.3,10004.0
148,5.8,10025.0
149,10.4,10030.0
150,10.2,10037.0
154,2.3,10280.0
155,7.0,10302.0
156,5.0,10303.0
157,12.9,10457.0
158,10.4,10464.0
159,3.1,10309.0
160,10.3,10467.0
161,12.8,10456.0
162,8.5,10035.0
163,2.1,10065.0
164,2.1,10075.0
170,10.4,10468.0
172,5.9,10305.0
173,8.6,10451.0
174,6.9,10463.0
175,15.0,10453.0
176,12.4,10454.0
177,11.6,10455.0
178,12.4,10458.0
179,6.9,10469.0
180,4.5,10003.0
181,3.9,10009.0
182,3.2,10011.0
183,2.5,10022.0
184,3.9,10028.0
186,4.0,10044.0
189,2.0,10307.0
190,11.7,10460.0
191,5.8,10465.0
192,5.6,10470.0
193,5.3,10471.0
194,4.0,10006.0
195,4.0,10012.0
196,3.0,10013.0
197,6.9,10014.0
198,4.3,10023.0
199,2.5,10024.0
200,9.8,10032.0
204,6.0,10306.0
205,7.6,10461.0
