,urination_density,shop_count,shop_density,toilet_count,toilet_density,green_space_ratio,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,Male Percent,Female Percent,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,Less Than 9th Grade,"9th to 12th Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,"PercentUnder$10,000","Percetn$10,000to$14,999","Percent$15,000to$24,999","Percetn$25,000to$34,999","Percent$35,000to$49,999","Percetn$50,000to$74,999","Percent$75,000to$99,999","Percetn$100,000to$149,999","Percent$150,000to$199,999","Percetn$200,000ormore",Median Household Income,crime_rate,population_density,subway_count,tree_count,AREA,tree_density
10002,0.0014882233564971403,370,1.4079078775512469e-05,7,2.6636094980699265e-07,0.17849376895389715,3.0,4.1,4.3,3.2,6.2,17.5,12.0,12.3,7.0,6.7,11.9,7.3,4.5,0.4929333136102632,0.5070666863897368,31.7,8.9,1.0,41.9,0.0,10.7,25.8,19.0,14.8,18.7,8.8,4.2,23.9,10.7,10.3,10.1,14.8,12.0,11.8,12.6,9.2,7.8,4.2,7.2,35607.0,0.0002090892319045569,0.0030937824320082198,17.0,2265.0,26280128.5438885,8.618679304469119e-05
10003,0.002702315759332832,414,2.6643710566348066e-05,3,1.9307036642281206e-07,0.039278983226550296,2.8,1.5,1.6,13.2,10.6,28.2,11.4,8.2,4.6,5.2,7.3,3.9,1.5,0.4878454756635145,0.5121545243364856,73.1,5.0,0.2,15.1,0.1,2.4,8.7,2.9,1.5,5.2,5.6,3.7,45.2,36.0,2.2,0.8,1.0,2.7,5.0,5.4,5.8,13.7,12.4,51.0,129981.0,0.0005010916639822472,0.003596128644991297,28.0,2025.0,15538376.2696663,0.00013032249733539814
10004,0.00102880658436214,40,2.950820373088086e-06,22,1.6229512051984472e-06,0.27728092291814216,3.3,1.6,1.5,3.5,2.6,31.1,13.0,18.9,7.9,8.3,6.5,0.9,1.1,0.4734138972809668,0.5265861027190333,68.2,4.8,0.0,20.4,0.4,0.4,5.8,0.4,0.0,2.1,2.7,0.8,45.7,48.3,0.4,0.0,0.0,1.9,0.1,1.1,1.4,9.4,10.4,75.2,204949.0,0.009144947416552356,0.00016133610389859108,20.0,118.0,13555552.335481301,8.704920100609852e-06
10005,0.0029604045886271126,23,1.1042290750238566e-05,0,0.0,0.002951605985169523,5.5,2.3,1.7,1.6,11.6,42.7,19.2,9.4,3.9,1.1,0.8,0.3,0.0,0.4768005540166205,0.5231994459833795,73.0,2.0,0.0,17.5,0.0,2.5,6.1,0.2,0.0,6.5,1.2,0.4,51.5,40.1,1.0,0.0,0.0,0.0,1.1,3.5,8.7,12.7,11.6,61.3,184681.0,0.001726902676699149,0.0038921674396601774,14.0,144.0,2082901.14073505,6.913434208845016e-05
10007,0.004916018025399427,47,8.821534944258526e-06,0,0.0,0.11110009132682144,9.9,5.4,2.5,2.1,5.2,25.9,16.7,21.5,3.1,2.3,5.2,0.3,0.1,0.548770816812054,0.4512291831879461,76.4,8.2,0.0,11.7,0.0,2.4,14.7,1.4,3.8,5.2,3.5,1.5,49.5,35.2,0.3,0.0,0.0,1.1,0.0,1.4,0.6,11.1,4.2,81.3,250001.0,0.005052574081660522,0.0013744702212086213,37.0,355.0,5327870.97676123,6.663074266408036e-05
10009,0.0016760231063379708,163,1.0249303749227993e-05,3,1.8863749231707962e-07,0.06550493391070814,3.3,2.0,3.4,3.1,8.4,27.2,13.6,9.5,8.6,6.0,7.7,4.9,2.3,0.4695968558532274,0.5304031441467726,59.3,7.9,0.1,15.0,0.0,10.5,23.1,6.1,6.3,13.0,9.2,4.0,37.0,24.5,9.0,5.6,8.2,5.2,9.1,12.3,5.7,11.1,9.5,24.3,68220.0,6.508827597429013e-05,0.0038642390301153757,4.0,1924.0,15903519.3012284,0.00012097951173935374
10010,0.0017067701884140424,159,1.62769821166129e-05,1,1.0237095670825724e-07,0.053649909030272086,4.4,4.6,3.2,5.4,7.1,23.0,14.9,12.5,4.5,3.8,10.3,4.1,2.2,0.4951816586600696,0.5048183413399304,68.1,11.0,0.0,15.0,0.0,2.2,9.0,0.7,2.8,9.7,8.1,2.5,37.3,38.9,0.7,3.4,3.0,1.2,3.3,2.4,6.7,9.4,16.8,53.1,139188.0,0.0007027877246410763,0.003058946557399435,21.0,889.0,9768395.56994528,9.100778051364069e-05
10011,0.0029252480531288295,190,1.0486567430891143e-05,3,1.6557738048775487e-07,0.040232107166398724,2.8,2.2,2.3,4.0,5.6,23.5,13.9,13.6,9.5,6.2,9.1,5.9,1.5,0.5063908576889384,0.4936091423110616,77.7,4.6,0.1,8.9,0.0,3.4,13.7,1.9,1.9,4.9,7.4,3.0,40.2,40.7,0.8,4.8,1.6,2.2,3.1,1.6,7.1,14.3,11.2,53.2,136208.0,0.0010277898565047238,0.0027924073294658233,52.0,2134.0,18118416.846326802,0.0001177807099869563
10012,0.0022656121272038227,317,3.447998687100639e-05,2,2.175393493438889e-07,0.025951070147688035,3.4,1.4,1.7,2.9,10.8,29.8,14.2,12.5,4.1,4.7,9.6,3.5,1.5,0.4762959103933316,0.5237040896066684,74.5,2.7,0.0,17.3,0.0,1.3,8.3,2.2,2.3,5.9,5.9,1.8,46.4,35.5,1.7,2.5,3.3,3.2,2.2,11.9,3.5,21.0,10.9,39.8,110490.0,0.0009474377986488713,0.0026404926223361235,23.0,1076.0,9193738.99955164,0.00011703616994701223
10013,0.003752010005360014,378,2.426097284558561e-05,5,3.209123392273229e-07,0.09099729285009571,6.1,4.5,4.1,2.7,6.5,17.4,17.4,12.9,5.7,5.3,9.1,5.0,3.3,0.5005757755522211,0.4994242244477789,61.9,3.3,0.1,28.3,0.0,2.0,6.6,10.2,6.2,7.0,5.4,2.3,40.6,28.3,1.6,2.7,6.3,3.6,6.7,6.2,5.8,11.2,7.5,48.4,130675.0,0.0012149365731641954,0.0017961463626553261,34.0,1202.0,15580578.8335804,7.714732635024842e-05
