Name,Location,Type
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Bathrooms
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Bathrooms
Belmont Playground,"Crotona Avenue, East 181 Street",Bathrooms
Capt. Rivera Playground,"East 156 Street, Forest Avenue",Bathrooms
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Bathrooms
Crotona Park (Pool House), 173rd Street and Fulton Avenue,Bathrooms
Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",Bathrooms
Magenta Playground,"Olinville Avenue, Rosewood Street",Bathrooms
Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",Bathrooms
Millbrook Playground,"East 135 Street, Cypress Avenue",Bathrooms
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Bathrooms
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",Bathrooms
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Bathrooms
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,Bathrooms
Quarry Ballfields,"Quarry Road, East 181 Street, Oak Place & Hughes Avenue",Bathrooms
Richman (Echo) Park Playground,"East 178 Street & Ryer Avenue, Upper Level",Bathrooms
Riverbend Playground,"Bailey Avenue, West Kingsbridge Road",Bathrooms
St. Mary's Playground East Playground,Jackson Avenue between East 144 and 145 streets,Bathrooms
Vidalia Park,Vyse & Daly avenues between West 179-180 streets,Bathrooms
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",Bathrooms
Carroll Park,Court & Smith Streets,Bathrooms
Coney Island Beach,Stillwell Avenue,Bathrooms
Coney Island Beach,West 16th Street,Bathrooms
Coney Island Beach,W 22 ST.,Bathrooms
Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Bathrooms
Fox Playground,"Avenue H, East 54 to E 55 streets",Bathrooms
Glenwood Playground,Ralph Avenue & Farragut Road,Bathrooms
Jesse Owens Playground,Stuyvesant & Lafayette avenues,Bathrooms
Prospect Park (Middle Long Meadow),Picnic House,Bathrooms
Prospect Park (The Bandshell),Prospect Park West/7th Street/15th Street,Bathrooms
PS 286 Playground,"Avenue Y, between Brown & Haring streets",Bathrooms
Sternberg Park,"Montrose Avenue, Boerum, Lorimer, Leonard streets",Bathrooms
Tiger Playground,Evergreen Avenue & Eldert Street,Bathrooms
Underwood Park,Lafayette & Waverly avenues,Bathrooms
Washington Hall Playground,"Park, Washington avenues to Hall Street",Bathrooms
Yak Playground,Avenue Y between Coyle & Batchelder streets,Bathrooms
Carl Schurz Park,East 84 Street & East End Avenue,Bathrooms
Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Bathrooms
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Bathrooms
Central Park (Lasker),Central Park at 107th Street,Bathrooms
Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Bathrooms
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Bathrooms
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Bathrooms
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Bathrooms
Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Bathrooms
Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Bathrooms
Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Bathrooms
J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Bathrooms
Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Bathrooms
Morningside Park,West 123 Street & Morningside Avenue,Bathrooms
Riverside Park (Café),"105th Street, next to Henry Hudson Parkway",Bathrooms
Sara D. Roosevelt Park,East Houston Street to Canal Street,Bathrooms
Vesuvio Playground,Spring & Thompson streets,Bathrooms
